Date,Cases,Deaths,Hospitalizations,Age_0_17,Age_18_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_plus
2020-03-01,0,0,2.0,0,0,0,0,0,0,0,0
2020-03-02,0,0,1.0,0,0,0,0,0,0,0,0
2020-03-03,0,0,3.0,0,0,0,0,0,0,0,0
2020-03-04,1,0,2.0,0,0,0,0,1,0,0,0
2020-03-05,1,0,6.0,0,0,0,0,1,0,0,0
2020-03-06,3,0,2.0,0,0,0,2,0,1,0,0
2020-03-07,3,0,3.0,0,0,0,0,1,0,2,0
2020-03-08,3,0,7.0,0,0,1,1,0,0,1,0
2020-03-09,5,0,3.0,3,0,0,0,0,0,1,1
2020-03-10,11,0,4.0,1,2,3,2,0,0,2,1
2020-03-11,13,0,7.0,0,4,1,3,3,2,0,0
2020-03-12,21,0,7.0,0,6,5,2,4,3,1,0
2020-03-13,32,0,8.0,0,4,13,5,5,5,0,0
2020-03-14,31,0,9.0,0,9,2,7,6,3,3,1
2020-03-15,40,0,20.0,0,3,8,9,8,5,4,3
2020-03-16,77,1,14.0,1,13,21,18,12,7,4,1
2020-03-17,96,1,22.0,0,15,21,18,17,19,2,4
2020-03-18,162,1,39.0,2,31,32,40,23,18,11,5
2020-03-19,185,2,35.0,5,34,47,36,25,18,18,2
2020-03-20,155,0,52.0,2,23,22,32,30,27,15,4
2020-03-21,125,2,61.0,0,18,25,20,28,16,13,5
2020-03-22,168,2,68.0,6,23,27,31,37,24,14,6
2020-03-23,289,3,101.0,4,46,55,52,56,30,35,11
2020-03-24,350,2,118.0,1,59,67,58,56,61,34,14
2020-03-25,367,5,122.0,2,51,71,72,82,33,36,20
2020-03-26,413,2,130.0,2,65,74,78,96,53,36,9
2020-03-27,404,8,155.0,4,43,61,86,103,49,36,22
2020-03-28,248,4,129.0,2,27,54,36,44,38,28,19
2020-03-29,283,20,128.0,4,30,48,54,50,50,30,17
2020-03-30,439,12,158.0,6,54,78,81,82,59,43,36
2020-03-31,489,16,160.0,5,57,104,97,91,69,39,27
2020-04-01,461,24,180.0,3,57,68,87,85,91,41,29
2020-04-02,436,15,170.0,2,58,69,85,91,58,40,33
2020-04-03,464,24,160.0,2,71,63,77,94,78,49,30
2020-04-04,326,22,158.0,2,34,38,61,70,63,33,25
2020-04-05,292,26,146.0,3,31,50,49,73,42,20,24
2020-04-06,583,22,198.0,5,77,97,103,110,94,56,41
2020-04-07,556,25,194.0,2,83,106,94,84,80,55,52
2020-04-08,704,36,173.0,11,86,100,107,154,129,69,48
2020-04-09,574,25,151.0,9,83,101,103,129,74,40,35
2020-04-10,570,32,154.0,22,79,101,99,107,85,42,35
2020-04-11,397,33,140.0,7,53,71,65,83,54,38,26
2020-04-12,341,33,136.0,28,32,56,54,60,46,34,31
2020-04-13,694,32,152.0,10,99,115,127,160,91,53,39
2020-04-14,666,33,166.0,16,102,121,122,126,78,51,50
2020-04-15,630,31,148.0,21,91,107,111,124,86,46,44
2020-04-16,677,31,151.0,8,118,113,119,121,94,63,41
2020-04-17,774,43,148.0,16,128,126,142,144,118,49,51
2020-04-18,534,39,160.0,13,89,101,95,90,81,44,21
2020-04-19,459,35,156.0,7,66,60,66,75,75,50,60
2020-04-20,990,40,178.0,24,158,181,213,193,122,58,41
2020-04-21,873,36,171.0,20,147,164,160,153,109,56,64
2020-04-22,1053,45,147.0,33,168,168,168,206,150,65,95
2020-04-23,1466,36,167.0,32,192,206,223,239,246,161,167
2020-04-24,1074,54,162.0,30,177,172,186,188,158,74,89
2020-04-25,638,38,115.0,32,122,120,135,107,67,31,24
2020-04-26,434,51,128.0,12,83,55,96,67,57,32,32
2020-04-27,1157,35,168.0,42,234,201,231,207,125,53,64
2020-04-28,1321,56,175.0,68,247,231,252,247,155,69,52
2020-04-29,1151,44,158.0,54,208,230,219,201,118,62,59
2020-04-30,1274,40,166.0,57,230,221,230,189,150,95,102
2020-05-01,1173,39,139.0,59,224,221,204,195,134,68,68
2020-05-02,719,49,166.0,25,142,126,154,143,74,40,15
2020-05-03,464,45,134.0,10,95,78,76,81,66,31,27
2020-05-04,1121,48,127.0,57,217,224,244,177,109,53,40
2020-05-05,1091,58,155.0,53,206,206,217,207,125,50,27
2020-05-06,968,44,132.0,55,187,159,213,170,93,53,38
2020-05-07,939,49,140.0,58,178,195,172,147,116,40,33
2020-05-08,921,43,98.0,52,168,191,196,154,82,44,34
2020-05-09,520,53,100.0,33,104,100,98,90,54,28,13
2020-05-10,306,38,98.0,17,59,52,64,42,41,14,17
2020-05-11,1017,38,129.0,62,206,197,192,142,118,69,31
2020-05-12,940,46,123.0,64,176,177,181,163,92,49,38
2020-05-13,877,45,125.0,56,189,165,164,135,96,40,32
2020-05-14,778,45,131.0,49,167,150,133,110,95,43,31
2020-05-15,968,49,109.0,80,186,200,165,136,101,64,36
2020-05-16,514,28,102.0,35,106,87,93,77,59,35,22
2020-05-17,326,41,97.0,17,53,58,37,65,44,22,30
2020-05-18,943,33,112.0,67,235,151,190,148,83,46,23
2020-05-19,888,27,97.0,78,211,170,148,129,85,39,28
2020-05-20,771,29,93.0,58,210,132,138,107,72,36,18
2020-05-21,798,34,107.0,75,174,137,119,122,78,50,43
2020-05-22,724,36,91.0,64,154,135,125,112,74,35,25
2020-05-23,328,30,91.0,31,63,58,54,54,35,19,14
2020-05-24,278,27,92.0,16,55,42,47,33,47,22,16
2020-05-25,252,23,78.0,7,34,35,41,43,49,26,17
2020-05-26,749,23,77.0,61,158,127,137,128,76,40,22
2020-05-27,614,26,65.0,70,124,101,116,83,66,32,22
2020-05-28,521,22,70.0,41,110,90,98,69,60,27,26
2020-05-29,458,20,50.0,33,113,70,85,75,42,18,22
2020-05-30,237,21,55.0,22,54,41,42,41,23,9,5
2020-05-31,121,22,40.0,16,28,20,22,12,13,5,5
2020-06-01,233,20,63.0,21,50,35,32,35,17,17,26
2020-06-02,247,25,48.0,14,35,45,44,31,34,18,26
2020-06-03,280,21,50.0,23,61,47,41,44,32,18,14
2020-06-04,319,15,30.0,27,91,63,54,40,26,10,8
2020-06-05,337,17,41.0,33,75,70,50,51,30,18,10
2020-06-06,170,20,38.0,18,33,22,36,28,20,9,4
2020-06-07,110,20,31.0,3,29,30,16,13,8,7,4
2020-06-08,273,15,42.0,21,63,48,49,40,24,15,13
2020-06-09,254,23,36.0,19,50,33,46,44,38,14,10
2020-06-10,232,12,29.0,10,57,45,31,36,26,18,9
2020-06-11,201,10,28.0,19,62,27,28,33,19,9,4
2020-06-12,248,21,24.0,32,61,42,46,27,21,8,11
2020-06-13,120,18,23.0,13,25,19,14,22,14,7,6
2020-06-14,92,12,28.0,6,22,18,20,14,6,2,4
